Node,Time,Name,Value
W064,2025-03-01T13:11:20.614880768Z,env.traffic.count.incoming.right,2
W064,2025-03-01T13:11:20.614880768Z,env.traffic.count.incoming.straight,2
W064,2025-03-01T13:11:20.614880768Z,env.traffic.count.outgoing.straight,9
W064,2025-03-01T13:11:20.614880768Z,env.traffic.count.total,13
W064,2025-03-01T13:01:08.44440064Z,env.traffic.count.incoming.left,3
W064,2025-03-01T13:01:08.44440064Z,env.traffic.count.incoming.right,4
W064,2025-03-01T13:01:08.44440064Z,env.traffic.count.incoming.straight,5
W064,2025-03-01T13:01:08.44440064Z,env.traffic.count.total,12
W064,2025-03-01T12:51:28.9516992Z,env.traffic.count.incoming.left,2
W064,2025-03-01T12:51:28.9516992Z,env.traffic.count.incoming.straight,4
W064,2025-03-01T12:51:28.9516992Z,env.traffic.count.outgoing.straight,6
W064,2025-03-01T12:51:28.9516992Z,env.traffic.count.total,12
W064,2025-03-01T12:42:53.375684096Z,env.traffic.count.incoming.right,2
W064,2025-03-01T12:42:53.375684096Z,env.traffic.count.outgoing.straight,1
W064,2025-03-01T12:42:53.375684096Z,env.traffic.count.total,3
W064,2025-03-01T12:34:48.584686336Z,env.traffic.count.incoming.straight,2
W064,2025-03-01T12:34:48.584686336Z,env.traffic.count.outgoing.straight,4
W064,2025-03-01T12:34:48.584686336Z,env.traffic.count.total,6
W064,2025-03-01T12:25:24.209211904Z,env.traffic.count.incoming.left,1
W064,2025-03-01T12:25:24.209211904Z,env.traffic.count.incoming.right,1
W064,2025-03-01T12:25:24.209211904Z,env.traffic.count.incoming.straight,4
W064,2025-03-01T12:25:24.209211904Z,env.traffic.count.outgoing.straight,2
W064,2025-03-01T12:25:24.209211904Z,env.traffic.count.total,8
W064,2025-03-01T12:17:19.558587904Z,env.traffic.count.incoming.straight,1
W064,2025-03-01T12:17:19.558587904Z,env.traffic.count.outgoing.straight,6
W064,2025-03-01T12:17:19.558587904Z,env.traffic.count.total,7
W064,2025-03-01T12:08:25.342384128Z,env.traffic.count.incoming.left,1
W064,2025-03-01T12:08:25.342384128Z,env.traffic.count.incoming.right,1
W064,2025-03-01T12:08:25.342384128Z,env.traffic.count.incoming.straight,1
W064,2025-03-01T12:08:25.342384128Z,env.traffic.count.outgoing.straight,3
W064,2025-03-01T12:08:25.342384128Z,env.traffic.count.total,6
W064,2025-03-01T11:59:53.665393664Z,env.traffic.count.outgoing.straight,2
W064,2025-03-01T11:59:53.665393664Z,env.traffic.count.total,2
W064,2025-03-01T11:51:14.205206016Z,env.traffic.count.incoming.left,3
W064,2025-03-01T11:51:14.205206016Z,env.traffic.count.incoming.right,1
W064,2025-03-01T11:51:14.205206016Z,env.traffic.count.incoming.straight,2
W064,2025-03-01T11:51:14.205206016Z,env.traffic.count.total,6
W064,2025-03-01T11:42:56.994240512Z,env.traffic.count.incoming.left,1
W064,2025-03-01T11:42:56.994240512Z,env.traffic.count.total,1
W064,2025-03-01T11:33:24.18694528Z,env.traffic.count.incoming.left,1
W064,2025-03-01T11:33:24.18694528Z,env.traffic.count.incoming.right,1
W064,2025-03-01T11:33:24.18694528Z,env.traffic.count.incoming.straight,1
W064,2025-03-01T11:33:24.18694528Z,env.traffic.count.total,3
W064,2025-03-01T11:25:27.782733312Z,env.traffic.count.total,0
W064,2025-03-01T11:17:02.456740096Z,env.traffic.count.incoming.left,1
W064,2025-03-01T11:17:02.456740096Z,env.traffic.count.incoming.right,1
W064,2025-03-01T11:17:02.456740096Z,env.traffic.count.outgoing.straight,1
W064,2025-03-01T11:17:02.456740096Z,env.traffic.count.total,3
W064,2025-03-01T11:09:15.2902976Z,env.traffic.count.incoming.right,1
W064,2025-03-01T11:09:15.2902976Z,env.traffic.count.incoming.straight,1
W064,2025-03-01T11:09:15.2902976Z,env.traffic.count.total,2
W064,2025-03-01T11:01:34.10685696Z,env.traffic.count.total,0
W064,2025-03-01T10:53:32.65062144Z,env.traffic.count.outgoing.straight,1
W064,2025-03-01T10:53:32.65062144Z,env.traffic.count.total,1
W064,2025-03-01T10:44:58.89707392Z,env.traffic.count.incoming.left,1
W064,2025-03-01T10:44:58.89707392Z,env.traffic.count.incoming.right,1
W064,2025-03-01T10:44:58.89707392Z,env.traffic.count.incoming.straight,1
W064,2025-03-01T10:44:58.89707392Z,env.traffic.count.outgoing.straight,1
W064,2025-03-01T10:44:58.89707392Z,env.traffic.count.total,4
W064,2025-03-01T10:37:04.369883904Z,env.traffic.count.outgoing.straight,2
W064,2025-03-01T10:37:04.369883904Z,env.traffic.count.total,2
W064,2025-03-01T10:28:49.356750592Z,env.traffic.count.outgoing.straight,2
W064,2025-03-01T10:28:49.356750592Z,env.traffic.count.total,2
W064,2025-03-01T10:20:34.883186176Z,env.traffic.count.incoming.straight,1
W064,2025-03-01T10:20:34.883186176Z,env.traffic.count.total,1
W064,2025-03-01T10:12:04.847549696Z,env.traffic.count.incoming.left,2
W064,2025-03-01T10:12:04.847549696Z,env.traffic.count.incoming.right,1
W064,2025-03-01T10:12:04.847549696Z,env.traffic.count.incoming.straight,1
W064,2025-03-01T10:12:04.847549696Z,env.traffic.count.total,4
W064,2025-03-01T10:04:22.468506624Z,env.traffic.count.incoming.straight,2
W064,2025-03-01T10:04:22.468506624Z,env.traffic.count.outgoing.straight,3
W064,2025-03-01T10:04:22.468506624Z,env.traffic.count.total,5
W064,2025-03-01T09:56:43.34892288Z,env.traffic.count.outgoing.straight,2
W064,2025-03-01T09:56:43.34892288Z,env.traffic.count.total,2
W064,2025-03-01T09:49:04.399630592Z,env.traffic.count.total,0
W064,2025-03-01T09:40:36.252741632Z,env.traffic.count.incoming.left,2
W064,2025-03-01T09:40:36.252741632Z,env.traffic.count.incoming.right,3
W064,2025-03-01T09:40:36.252741632Z,env.traffic.count.incoming.straight,2
W064,2025-03-01T09:40:36.252741632Z,env.traffic.count.outgoing.straight,7
W064,2025-03-01T09:40:36.252741632Z,env.traffic.count.total,14
W064,2025-03-01T09:33:03.301961984Z,env.traffic.count.total,0
W064,2025-03-01T09:24:23.1622912Z,env.traffic.count.incoming.right,1
W064,2025-03-01T09:24:23.1622912Z,env.traffic.count.incoming.straight,3
W064,2025-03-01T09:24:23.1622912Z,env.traffic.count.outgoing.straight,1
W064,2025-03-01T09:24:23.1622912Z,env.traffic.count.total,5
W064,2025-03-01T09:16:10.093854464Z,env.traffic.count.incoming.right,2
W064,2025-03-01T09:16:10.093854464Z,env.traffic.count.incoming.straight,1
W064,2025-03-01T09:16:10.093854464Z,env.traffic.count.outgoing.straight,2
W064,2025-03-01T09:16:10.093854464Z,env.traffic.count.total,5
W064,2025-03-01T09:07:55.040354304Z,env.traffic.count.incoming.left,1
W064,2025-03-01T09:07:55.040354304Z,env.traffic.count.incoming.right,1
W064,2025-03-01T09:07:55.040354304Z,env.traffic.count.outgoing.straight,1
W064,2025-03-01T09:07:55.040354304Z,env.traffic.count.total,3
W064,2025-03-01T09:00:22.2668352Z,env.traffic.count.outgoing.straight,3
W064,2025-03-01T09:00:22.2668352Z,env.traffic.count.total,3
W064,2025-03-01T08:50:50.429607168Z,env.traffic.count.incoming.left,3
W064,2025-03-01T08:50:50.429607168Z,env.traffic.count.incoming.right,2
W064,2025-03-01T08:50:50.429607168Z,env.traffic.count.incoming.straight,1
W064,2025-03-01T08:50:50.429607168Z,env.traffic.count.outgoing.straight,4
W064,2025-03-01T08:50:50.429607168Z,env.traffic.count.total,10
W064,2025-03-01T08:42:14.147890432Z,env.traffic.count.total,0
W064,2025-03-01T08:34:22.268186624Z,env.traffic.count.incoming.left,1
W064,2025-03-01T08:34:22.268186624Z,env.traffic.count.incoming.right,1
W064,2025-03-01T08:34:22.268186624Z,env.traffic.count.outgoing.straight,2
W064,2025-03-01T08:34:22.268186624Z,env.traffic.count.total,4
W064,2025-03-01T08:26:17.897737728Z,env.traffic.count.outgoing.straight,5
W064,2025-03-01T08:26:17.897737728Z,env.traffic.count.total,5
W064,2025-03-01T08:17:16.593502208Z,env.traffic.count.incoming.right,1
W064,2025-03-01T08:17:16.593502208Z,env.traffic.count.incoming.straight,1
W064,2025-03-01T08:17:16.593502208Z,env.traffic.count.outgoing.straight,2
W064,2025-03-01T08:17:16.593502208Z,env.traffic.count.total,4
W064,2025-03-01T08:09:26.2819776Z,env.traffic.count.incoming.right,4
W064,2025-03-01T08:09:26.2819776Z,env.traffic.count.outgoing.straight,2
W064,2025-03-01T08:09:26.2819776Z,env.traffic.count.total,6
W064,2025-03-01T08:01:15.93184128Z,env.traffic.count.incoming.left,1
W064,2025-03-01T08:01:15.93184128Z,env.traffic.count.outgoing.straight,3
W064,2025-03-01T08:01:15.93184128Z,env.traffic.count.total,4
W064,2025-03-01T07:52:37.186661376Z,env.traffic.count.incoming.left,3
W064,2025-03-01T07:52:37.186661376Z,env.traffic.count.incoming.right,2
W064,2025-03-01T07:52:37.186661376Z,env.traffic.count.incoming.straight,2
W064,2025-03-01T07:52:37.186661376Z,env.traffic.count.outgoing.straight,5
W064,2025-03-01T07:52:37.186661376Z,env.traffic.count.total,12
W064,2025-03-01T07:43:17.980218112Z,env.traffic.count.incoming.left,3
W064,2025-03-01T07:43:17.980218112Z,env.traffic.count.incoming.right,6
W064,2025-03-01T07:43:17.980218112Z,env.traffic.count.incoming.straight,2
W064,2025-03-01T07:43:17.980218112Z,env.traffic.count.outgoing.straight,1
W064,2025-03-01T07:43:17.980218112Z,env.traffic.count.total,12
W064,2025-03-01T07:35:22.221235968Z,env.traffic.count.incoming.straight,2
W064,2025-03-01T07:35:22.221235968Z,env.traffic.count.outgoing.straight,4
W064,2025-03-01T07:35:22.221235968Z,env.traffic.count.total,6
W064,2025-03-01T07:27:17.7199488Z,env.traffic.count.incoming.left,2
W064,2025-03-01T07:27:17.7199488Z,env.traffic.count.incoming.right,4
W064,2025-03-01T07:27:17.7199488Z,env.traffic.count.incoming.straight,1
W064,2025-03-01T07:27:17.7199488Z,env.traffic.count.outgoing.straight,2
W064,2025-03-01T07:27:17.7199488Z,env.traffic.count.total,9
W064,2025-03-01T07:18:18.805753856Z,env.traffic.count.incoming.left,1
W064,2025-03-01T07:18:18.805753856Z,env.traffic.count.outgoing.straight,9
W064,2025-03-01T07:18:18.805753856Z,env.traffic.count.total,10
W064,2025-03-01T07:09:21.286985472Z,env.traffic.count.incoming.left,1
W064,2025-03-01T07:09:21.286985472Z,env.traffic.count.incoming.right,1
W064,2025-03-01T07:09:21.286985472Z,env.traffic.count.incoming.straight,3
W064,2025-03-01T07:09:21.286985472Z,env.traffic.count.outgoing.straight,1
W064,2025-03-01T07:09:21.286985472Z,env.traffic.count.total,6
W064,2025-03-01T07:01:03.432099328Z,env.traffic.count.outgoing.straight,4
W064,2025-03-01T07:01:03.432099328Z,env.traffic.count.total,4
W064,2025-03-01T06:51:17.141887488Z,env.traffic.count.incoming.left,1
W064,2025-03-01T06:51:17.141887488Z,env.traffic.count.incoming.straight,1
W064,2025-03-01T06:51:17.141887488Z,env.traffic.count.outgoing.straight,1
W064,2025-03-01T06:51:17.141887488Z,env.traffic.count.total,3
W064,2025-03-01T06:33:50.18166784Z,env.traffic.count.incoming.left,1
W064,2025-03-01T06:33:50.18166784Z,env.traffic.count.outgoing.straight,1
W064,2025-03-01T06:33:50.18166784Z,env.traffic.count.total,2
W064,2025-03-01T06:26:10.931288064Z,env.traffic.count.incoming.straight,1
W064,2025-03-01T06:26:10.931288064Z,env.traffic.count.outgoing.straight,2
W064,2025-03-01T06:26:10.931288064Z,env.traffic.count.total,3
W064,2025-03-01T06:17:51.09061632Z,env.traffic.count.incoming.right,1
W064,2025-03-01T06:17:51.09061632Z,env.traffic.count.incoming.straight,4
W064,2025-03-01T06:17:51.09061632Z,env.traffic.count.outgoing.straight,1
W064,2025-03-01T06:17:51.09061632Z,env.traffic.count.total,6
W064,2025-03-01T06:09:44.894542592Z,env.traffic.count.outgoing.straight,7
W064,2025-03-01T06:09:44.894542592Z,env.traffic.count.total,7
W064,2025-03-01T06:00:57.740019968Z,env.traffic.count.incoming.left,3
W064,2025-03-01T06:00:57.740019968Z,env.traffic.count.incoming.right,3
W064,2025-03-01T06:00:57.740019968Z,env.traffic.count.outgoing.straight,1
W064,2025-03-01T06:00:57.740019968Z,env.traffic.count.total,7
W064,2025-03-01T05:52:19.71024128Z,env.traffic.count.incoming.left,1
W064,2025-03-01T05:52:19.71024128Z,env.traffic.count.incoming.right,1
W064,2025-03-01T05:52:19.71024128Z,env.traffic.count.incoming.straight,4
W064,2025-03-01T05:52:19.71024128Z,env.traffic.count.outgoing.straight,8
W064,2025-03-01T05:52:19.71024128Z,env.traffic.count.total,14
W064,2025-03-01T05:43:28.829328384Z,env.traffic.count.incoming.left,4
W064,2025-03-01T05:43:28.829328384Z,env.traffic.count.incoming.right,4
W064,2025-03-01T05:43:28.829328384Z,env.traffic.count.incoming.straight,1
W064,2025-03-01T05:43:28.829328384Z,env.traffic.count.outgoing.straight,1
W064,2025-03-01T05:43:28.829328384Z,env.traffic.count.total,10
W064,2025-03-01T05:35:11.577038848Z,env.traffic.count.incoming.right,1
W064,2025-03-01T05:35:11.577038848Z,env.traffic.count.outgoing.straight,1
W064,2025-03-01T05:35:11.577038848Z,env.traffic.count.total,2
W064,2025-03-01T05:26:46.810859264Z,env.traffic.count.incoming.left,1
W064,2025-03-01T05:26:46.810859264Z,env.traffic.count.incoming.right,7
W064,2025-03-01T05:26:46.810859264Z,env.traffic.count.incoming.straight,2
W064,2025-03-01T05:26:46.810859264Z,env.traffic.count.outgoing.straight,1
W064,2025-03-01T05:26:46.810859264Z,env.traffic.count.total,11
W064,2025-03-01T05:17:40.912325632Z,env.traffic.count.outgoing.straight,12
W064,2025-03-01T05:17:40.912325632Z,env.traffic.count.total,12
W064,2025-03-01T05:09:19.551328Z,env.traffic.count.incoming.left,6
W064,2025-03-01T05:09:19.551328Z,env.traffic.count.incoming.right,4
W064,2025-03-01T05:09:19.551328Z,env.traffic.count.incoming.straight,4
W064,2025-03-01T05:09:19.551328Z,env.traffic.count.outgoing.straight,4
W064,2025-03-01T05:09:19.551328Z,env.traffic.count.total,18
W064,2025-03-01T04:59:43.073421824Z,env.traffic.count.incoming.left,2
W064,2025-03-01T04:59:43.073421824Z,env.traffic.count.incoming.right,1
W064,2025-03-01T04:59:43.073421824Z,env.traffic.count.incoming.straight,5
W064,2025-03-01T04:59:43.073421824Z,env.traffic.count.outgoing.straight,14
W064,2025-03-01T04:59:43.073421824Z,env.traffic.count.total,22
W064,2025-03-01T04:50:26.884129024Z,env.traffic.count.incoming.left,4
W064,2025-03-01T04:50:26.884129024Z,env.traffic.count.incoming.right,3
W064,2025-03-01T04:50:26.884129024Z,env.traffic.count.incoming.straight,1
W064,2025-03-01T04:50:26.884129024Z,env.traffic.count.outgoing.straight,6
W064,2025-03-01T04:50:26.884129024Z,env.traffic.count.total,14
W064,2025-03-01T04:41:10.438888448Z,env.traffic.count.incoming.left,2
W064,2025-03-01T04:41:10.438888448Z,env.traffic.count.incoming.straight,2
W064,2025-03-01T04:41:10.438888448Z,env.traffic.count.outgoing.straight,8
W064,2025-03-01T04:41:10.438888448Z,env.traffic.count.total,12
W064,2025-03-01T04:31:44.670898944Z,env.traffic.count.incoming.left,3
W064,2025-03-01T04:31:44.670898944Z,env.traffic.count.incoming.right,3
W064,2025-03-01T04:31:44.670898944Z,env.traffic.count.incoming.straight,2
W064,2025-03-01T04:31:44.670898944Z,env.traffic.count.outgoing.straight,5
W064,2025-03-01T04:31:44.670898944Z,env.traffic.count.total,13
W064,2025-03-01T04:22:12.38875776Z,env.traffic.count.incoming.left,6
W064,2025-03-01T04:22:12.38875776Z,env.traffic.count.incoming.right,4
W064,2025-03-01T04:22:12.38875776Z,env.traffic.count.incoming.straight,1
W064,2025-03-01T04:22:12.38875776Z,env.traffic.count.outgoing.straight,10
W064,2025-03-01T04:22:12.38875776Z,env.traffic.count.total,21
W064,2025-03-01T04:13:11.436430592Z,env.traffic.count.incoming.left,6
W064,2025-03-01T04:13:11.436430592Z,env.traffic.count.incoming.right,11
W064,2025-03-01T04:13:11.436430592Z,env.traffic.count.incoming.straight,7
W064,2025-03-01T04:13:11.436430592Z,env.traffic.count.outgoing.straight,4
W064,2025-03-01T04:13:11.436430592Z,env.traffic.count.total,28
W064,2025-03-01T04:02:49.260453376Z,env.traffic.count.incoming.left,5
W064,2025-03-01T04:02:49.260453376Z,env.traffic.count.incoming.right,1
W064,2025-03-01T04:02:49.260453376Z,env.traffic.count.incoming.straight,9
W064,2025-03-01T04:02:49.260453376Z,env.traffic.count.outgoing.straight,10
W064,2025-03-01T04:02:49.260453376Z,env.traffic.count.total,25
W064,2025-03-01T03:54:11.172355072Z,env.traffic.count.incoming.left,5
W064,2025-03-01T03:54:11.172355072Z,env.traffic.count.incoming.right,2
W064,2025-03-01T03:54:11.172355072Z,env.traffic.count.incoming.straight,1
W064,2025-03-01T03:54:11.172355072Z,env.traffic.count.outgoing.straight,8
W064,2025-03-01T03:54:11.172355072Z,env.traffic.count.total,16
W064,2025-03-01T03:44:28.755702272Z,env.traffic.count.incoming.left,2
W064,2025-03-01T03:44:28.755702272Z,env.traffic.count.incoming.right,2
W064,2025-03-01T03:44:28.755702272Z,env.traffic.count.incoming.straight,14
W064,2025-03-01T03:44:28.755702272Z,env.traffic.count.outgoing.straight,20
W064,2025-03-01T03:44:28.755702272Z,env.traffic.count.total,38
W064,2025-03-01T03:34:56.762983168Z,env.traffic.count.incoming.left,5
W064,2025-03-01T03:34:56.762983168Z,env.traffic.count.incoming.right,6
W064,2025-03-01T03:34:56.762983168Z,env.traffic.count.incoming.straight,3
W064,2025-03-01T03:34:56.762983168Z,env.traffic.count.outgoing.straight,5
W064,2025-03-01T03:34:56.762983168Z,env.traffic.count.total,19
